Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
X TKI 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X TKI 1,Senin,2-3,07:40,09:00,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",Lab. KI 1
X TKI 1,Senin,4-5-6,09:00,11:20,CLASS,PJOK,"Ilham Sungeidi, S.Pd",LAP
X TKI 1,Senin,7-8,11:20,13:40,CLASS,Bahasa Indonesia,"Yani, S.Pd.",Lab. KI 1
X TKI 1,Senin,9-10,13:40,15:00,CLASS,Bahasa Jawa,"Yustin Febrini, S.Pd",Lab. KI 1
X TKI 1,Selasa,1-2,07:00,08:20,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",Lab. KI 1
X TKI 1,Selasa,3-4,08:20,09:40,CLASS,Bahasa Indonesia,"Yani, S.Pd.",Lab. KI 1
X TKI 1,Selasa,5-6-7,10:00,12:00,CLASS,IPAS,"Khuriyatul Kamila, S.Si",Lab. KI 1
X TKI 1,Selasa,8-9-10,13:00,15:00,CLASS,Dasar TKI,"Rifkotin Na'imah, S.Pd",Lab. KI 1
X TKI 1,Rabu,1-2,07:00,08:20,CLASS,Koding dan Kecerdasan Artifisial,"Endang Ary Handayani S.T., M.Pd",Lab. TKJ 3
X TKI 1,Rabu,3-4-5,08:20,10:40,CLASS,Dasar TKI,"Sri Kusumastuti, S.Pd",Lab. KI 1
X TKI 1,Rabu,6-7-8,10:40,13:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Muashofah, M.Pd",Lab. KI 1
X TKI 1,Rabu,9-10,13:40,15:00,CLASS,Informatika,"Lutfia Marsalina, S.Pd.I M.Pd.",Lab. Broadcast
X TKI 1,Kamis,1-2,07:00,08:20,CLASS,Matematika,"Arvia Rienetasary, S.Pd",Lab. KI 1
X TKI 1,Kamis,3-4,08:20,09:40,CLASS,Pendidikan Pancasila,"Wiwik Yuniarsih, S.Pd",Lab. KI 1
X TKI 1,Kamis,5-6-7,10:00,12:00,CLASS,IPAS,"Khuriyatul Kamila, S.Si",Lab. KI 1
X TKI 1,Kamis,8-9-10,13:00,15:00,CLASS,Dasar TKI,"Sri Kusumastuti, S.Pd",Lab. KI 1
X TKI 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X TKI 1,Jumat,2-3-4,07:30,09:00,CLASS,Dasar TKI,"Rifkotin Na'imah, S.Pd",Lab. KI 1
X TKI 1,Jumat,5,09:00,09:30,CLASS,BK,Yuni Jiastuti S.Pd,Lab. KI 1
X TKI 1,Jumat,6-7,09:50,10:50,CLASS,Matematika,"Arvia Rienetasary, S.Pd",Lab. KI 1
X TKI 1,Jumat,8-9,10:50,13:30,CLASS,Informatika,"Lutfia Marsalina, S.Pd.I M.Pd.",Lab. Broadcast
X TKI 1,Jumat,10-11,13:30,14:30,CLASS,Sejarah,"Fajar Luthfianto, S.Pd",Lab. KI 1
X TKI 1,Jumat,12-13,14:30,15:30,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",Lab. KI 1
X TKI 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
